WID,Strategy,CVOrder,CVLLH
S175,base_strats,28,-48.6525954337
S175,base_strats,29,-44.1183310736
S175,base_strats,40,-44.4571557632
S175,base_strats,41,-46.2114640902
S175,base_strats,1,-43.8580214794
S175,base_strats,0,-46.2516296804
S175,base_strats,3,-42.1788956461
S175,base_strats,2,-55.6101242896
S175,base_strats,5,-40.8838999459
S175,base_strats,4,-50.4206446396
S175,base_strats,7,-47.6730650747
S175,base_strats,6,-44.2707680344
S175,base_strats,9,-49.2895057503
S175,base_strats,8,-48.5929783016
S175,base_strats,39,-41.1711908541
S175,base_strats,38,-49.8270910863
S175,base_strats,11,-54.4925655456
S175,base_strats,10,-52.145598265
S175,base_strats,13,-43.6848741055
S175,base_strats,12,-48.6283292223
S175,base_strats,15,-55.4224220781
S175,base_strats,14,-47.3472874949
S175,base_strats,17,-46.1857454484
S175,base_strats,16,-41.9262822242
S175,base_strats,19,-42.2707984821
S175,base_strats,18,-50.5330172235
S175,base_strats,31,-38.9864486496
S175,base_strats,30,-43.186157869
S175,base_strats,37,-47.008754341
S175,base_strats,36,-40.3609551604
S175,base_strats,35,-47.1251573663
S175,base_strats,34,-43.5827078952
S175,base_strats,33,-47.0632400629
S175,base_strats,32,-46.2198636244
S184,base_strats,42,-65.1082645769
S184,base_strats,48,-51.7426829624
S184,base_strats,43,-49.3992520882
S184,base_strats,49,-52.1619982072
S184,base_strats,24,-71.652922859
S184,base_strats,25,-55.1029967009
S184,base_strats,26,-48.8043529499
S184,base_strats,27,-55.9598925237
S184,base_strats,20,-62.2268184981
S184,base_strats,21,-51.7551604599
S184,base_strats,22,-50.4224361478
S184,base_strats,23,-44.1872161781
S184,base_strats,46,-64.0740718116
S184,base_strats,47,-60.7682851201
S184,base_strats,44,-65.0013304275
S184,base_strats,45,-53.8092320201
S184,base_strats,28,-59.6247434338
S184,base_strats,29,-56.2761186454
S184,base_strats,40,-55.9575887602
S184,base_strats,41,-59.9392033635
S184,base_strats,1,-64.6941993668
S184,base_strats,0,-51.7229105937
S184,base_strats,3,-61.2777054407
S184,base_strats,2,-53.0344902436
S184,base_strats,5,-43.6501338725
S184,base_strats,4,-53.3935807444
S184,base_strats,7,-58.4093335957
S184,base_strats,6,-55.8420639925
S184,base_strats,9,-54.1487001722
S184,base_strats,8,-60.3431394264
S184,base_strats,39,-56.9550809082
S184,base_strats,38,-45.5534121843
S184,base_strats,11,-58.2798980265
S184,base_strats,10,-52.5906719349
S184,base_strats,13,-51.5237476776
S184,base_strats,12,-47.952007365
S184,base_strats,15,-50.7685265938
S184,base_strats,14,-56.6962145636
S184,base_strats,17,-53.4063812344
S184,base_strats,16,-57.8708548647
S184,base_strats,19,-48.3456961456
S184,base_strats,18,-44.4084534508
S184,base_strats,31,-56.0402699249
S184,base_strats,30,-64.1821023331
S184,base_strats,37,-51.4225502943
S184,base_strats,36,-53.5447495325
S184,base_strats,35,-45.4731851515
S184,base_strats,34,-54.623574638
S184,base_strats,33,-45.1865878881
S184,base_strats,32,-46.7148084987
S149,base_strats,42,-67.4403003461
S149,base_strats,48,-51.0918666861
S149,base_strats,43,-45.4913376799
S149,base_strats,49,-50.6592776201
S149,base_strats,24,-59.1144872543
S149,base_strats,25,-65.4777037193
S149,base_strats,26,-62.392399767
S149,base_strats,27,-65.5673924281
S149,base_strats,20,-50.9347102261
S149,base_strats,21,-49.9362064495
S149,base_strats,22,-50.765571178
S149,base_strats,23,-47.4064990226
S149,base_strats,46,-47.9513333208
S149,base_strats,47,-54.5617398005
S149,base_strats,44,-61.8191799027
S149,base_strats,45,-56.3963285979
S149,base_strats,28,-54.0544264442
S149,base_strats,29,-66.012077654
S149,base_strats,40,-49.9819023034
S149,base_strats,41,-57.4175029711
S149,base_strats,1,-54.2545918424
S149,base_strats,0,-65.7015374494
S149,base_strats,3,-67.2944424633
S149,base_strats,2,-55.8466119406
S149,base_strats,5,-50.0813403345
S149,base_strats,4,-55.8520796393
S149,base_strats,7,-51.6381586705
S149,base_strats,6,-53.6671264349
S149,base_strats,9,-58.2062592754
S149,base_strats,8,-54.2700784493
S149,base_strats,39,-52.9535550589
S149,base_strats,38,-59.0403386217
S149,base_strats,11,-46.5704051781
S149,base_strats,10,-52.8396907306
S149,base_strats,13,-51.3439022353
S149,base_strats,12,-59.0836603916
S149,base_strats,15,-49.8224103991
S149,base_strats,14,-48.1661741467
S149,base_strats,17,-53.0979459645
S149,base_strats,16,-52.6202968184
S149,base_strats,19,-58.6010815939
S149,base_strats,18,-53.0664057692
S149,base_strats,31,-48.2492557528
S149,base_strats,30,-58.0640528316
S149,base_strats,37,-50.534352321
S149,base_strats,36,-47.1802816608
S149,base_strats,35,-47.6162148137
S149,base_strats,34,-46.7894789729
S149,base_strats,33,-56.7848875238
S149,base_strats,32,-51.9947878445
S173,base_strats,42,-56.5784232809
S173,base_strats,48,-58.3900067576
S173,base_strats,43,-45.3527381244
S173,base_strats,49,-50.734017145
S173,base_strats,24,-47.8529096731
S173,base_strats,25,-49.415283278
S173,base_strats,26,-48.5795481816
S173,base_strats,27,-54.1080432581
S173,base_strats,20,-53.7738782578
S173,base_strats,21,-62.6056671893
S173,base_strats,22,-54.2352450443
S173,base_strats,23,-50.5601771346
S173,base_strats,46,-54.2704709008
S173,base_strats,47,-54.9860344042
S173,base_strats,44,-52.3440635162
S173,base_strats,45,-49.0045735381
S173,base_strats,28,-50.1482243398
S173,base_strats,29,-43.0285603879
S173,base_strats,40,-41.8584665022
S173,base_strats,41,-45.1561496637
S173,base_strats,1,-48.7106119819
S173,base_strats,0,-51.7917029671
S173,base_strats,3,-47.8894691401
S173,base_strats,2,-49.6040838097
S173,base_strats,5,-52.8152719162
S173,base_strats,4,-62.4471981821
S173,base_strats,7,-45.656626927
S173,base_strats,6,-49.5964781499
S173,base_strats,9,-56.5821099332
S173,base_strats,8,-48.6263618615
S173,base_strats,39,-54.9294935323
S173,base_strats,38,-52.2923273139
S173,base_strats,11,-52.3231076199
S173,base_strats,10,-55.2713713299
S173,base_strats,13,-50.7755012074
S173,base_strats,12,-47.5221878803
S173,base_strats,15,-60.0790312615
S173,base_strats,14,-48.4658195302
S173,base_strats,17,-51.0512851979
S173,base_strats,16,-45.4693912954
S173,base_strats,19,-46.0700478656
S173,base_strats,18,-47.6550096183
S173,base_strats,31,-43.8372527799
S173,base_strats,30,-36.1108671156
S173,base_strats,37,-48.3604323272
S173,base_strats,36,-53.3799251715
S173,base_strats,35,-56.6783377027
S173,base_strats,34,-54.7973535683
S173,base_strats,33,-49.805583858
S173,base_strats,32,-42.3392479435
S222,base_strats,42,-51.447040647
S222,base_strats,48,-62.1609721372
S222,base_strats,43,-53.0306977248
S222,base_strats,49,-64.0646292746
S222,base_strats,24,-60.9910356326
S222,base_strats,25,-54.714673929
S222,base_strats,26,-58.4993129797
S222,base_strats,27,-70.7010098415
S222,base_strats,20,-59.6442749402
S222,base_strats,21,-65.9130306492
S222,base_strats,22,-54.8691792533
S222,base_strats,23,-56.7432867
S222,base_strats,46,-53.5011578226
S222,base_strats,47,-66.6567800287
S222,base_strats,44,-64.4000806604
S222,base_strats,45,-68.0191797961
S222,base_strats,28,-62.7417857782
S222,base_strats,29,-57.338014914
S222,base_strats,40,-54.643610613
S222,base_strats,41,-64.4237647856
S222,base_strats,1,-55.7562904177
S222,base_strats,0,-52.9175263819
S222,base_strats,3,-58.8756557557
S222,base_strats,2,-58.9673894183
S222,base_strats,5,-65.6196498768
S222,base_strats,4,-57.9399343129
S222,base_strats,7,-68.2401328013
S222,base_strats,6,-56.332103731
S222,base_strats,9,-57.0402306222
S222,base_strats,8,-65.7321293745
S222,base_strats,39,-61.7187549615
S222,base_strats,38,-53.714693962
S222,base_strats,11,-64.5924222924
S222,base_strats,10,-53.1812165383
S222,base_strats,13,-65.5947739953
S222,base_strats,12,-54.0730473097
S222,base_strats,15,-62.6176825315
S222,base_strats,14,-56.1738390899
S222,base_strats,17,-61.5143365165
S222,base_strats,16,-69.1480015557
S222,base_strats,19,-54.6485431683
S222,base_strats,18,-55.5802244977
S222,base_strats,31,-59.187114027
S222,base_strats,30,-53.9145980179
S222,base_strats,37,-66.2679928969
S222,base_strats,36,-59.6970620726
S222,base_strats,35,-60.4278274024
S222,base_strats,34,-63.4340510767
S222,base_strats,33,-55.1519774616
S222,base_strats,32,-51.3209128695
S174,base_strats,42,-30.3979330737
S174,base_strats,48,-29.5573422562
S174,base_strats,43,-26.0324701255
S174,base_strats,49,-23.7393057369
S174,base_strats,24,-30.8728212633
S174,base_strats,25,-27.0491197993
S174,base_strats,26,-26.9541945921
S174,base_strats,27,-29.2853564997
S174,base_strats,20,-30.494943262
S174,base_strats,21,-33.4529479563
S174,base_strats,22,-25.3913342778
S174,base_strats,23,-31.9769884367
S174,base_strats,46,-27.8389123479
S174,base_strats,47,-28.9491266137
S174,base_strats,44,-30.2913020468
S174,base_strats,45,-25.2901522683
S174,base_strats,28,-23.288047248
S174,base_strats,29,-25.4454012601
S174,base_strats,40,-25.3947029917
S174,base_strats,41,-25.2734544415
S174,base_strats,1,-23.2746985278
S174,base_strats,0,-27.5593797585
S174,base_strats,3,-26.4283489215
S174,base_strats,2,-26.7435224858
S174,base_strats,5,-24.4368852777
S174,base_strats,4,-25.8222362746
S174,base_strats,7,-29.3140839725
S174,base_strats,6,-23.2787906998
S174,base_strats,9,-28.1217192551
