WID,Experiment,strat_SP,strat_SWP,strat_G,strat_WProp,strat_LLH,rules_Rule,rules_Guess,rules_LLH
S179,bal,0.1824680002341627,0.7669467239141873,0.05058527585165,0.8078100164310793,80.731337547232,R2,0.1602077497243201,82.44304441907738
S180,bal,0.6215439045631105,0.2179383720777623,0.1605177233591271,0.2596104505622523,108.59935754767506,R4,0.3333333333333333,109.86090143641466
S181,bal,0.6774098763709112,6.965083822090082e-08,0.3225900539782505,1.0281933211926085e-07,120.68532161601286,R3,0.304672276973674,125.91085883639472
S182,bal,0.7682774665929556,0.2317224832986757,5.010836866177909e-08,0.2317224949099119,72.64726815293727,R4,0.2675503588952256,93.65129805044825
S183,bal,0.9999997950565916,5.109500640793367e-15,2.049434032697057e-07,5.109501687952032e-15,95.40218468826068,R4,0.3333333317269695,124.23543183093103
S184,bal,0.3405510269531875,0.4510842364989064,0.208364736547906,0.5698132174302818,104.15631453860176,R4,0.3305018416939892,106.64802617971309
S185,bal,0.6666664329577722,2.337027074929656e-07,0.3333333333333333,3.505540612427017e-07,121.56402979566911,R3,0.3333333322502088,134.50559474959067
S186,bal,0.7087832895508233,0.1279115029520737,0.163305207497103,0.1528771352447862,114.95195977960864,R1,0.3333333333333333,130.71958218384535
S187,bal,0.2961076576555593,0.3705590087481691,0.3333333333333333,0.5558385133414805,138.70838132057762,R3,0.3333333319703956,141.40095305739982
S188,bal,0.6015371996975302,0.3984627828208631,1.7481606588421077e-08,0.3984627897866329,95.24900615171696,R4,0.2546634107883291,94.84385890187104
S189,bal,0.6213904206576956,0.0452762459787378,0.3333333333333333,0.0679143689711866,131.34725390265564,R3,0.2935669639125754,126.745621226311
S190,bal,0.0761546591941502,0.5905120074531863,0.3333333333333333,0.8857680112054626,109.53482325311197,R2,0.3333333333311608,110.57562953508918
S191,bal,0.4782404079554422,0.521759506320843,8.572371477359036e-08,0.52175955104801,92.57303485963824,R2,0.3333333315338376,100.85799050711076
S192,bal,0.7910870228523835,0.2089128379497077,1.3919790868807518e-07,0.2089128670299419,85.3364443429444,R4,0.3333333326783756,108.38261801562832
S193,bal,0.673590381867284,0.3264095513470441,6.67856718777024e-08,0.3264095731465267,106.5997389221542,R4,0.3223071746221077,104.44138826859898
S194,bal,0.6896577944046783,0.0885905827956327,0.2217516227996888,0.1138333023119567,116.4641422095076,R4,0.3333333330429737,117.74709307896504
S195,bal,0.1734336181612851,0.4932330482769521,0.3333333333333333,0.7398495726689333,126.8608500485802,R1,0.3333333322440522,132.5562130514197
S196,bal,0.6669359508459048,3.3806167178475164e-07,0.3330637110924233,5.068875054594606e-07,120.92317320488074,R3a,0.3333333333333333,122.2557385413414
S197,bal,0.4008280653887461,0.2658386012437873,0.3333333333333333,0.3987579018860973,121.61911039465436,R3,0.2622547133725506,124.09049646538357
S198,bal,0.3890697695148997,0.4825718865055275,0.1283583439795727,0.5536356404864367,101.1964692710065,R3a,0.2490567788703672,100.08601029414348
S199,bal,0.9075316523125132,0.0924683161068292,3.158065750892102e-08,0.0924683190270395,119.420452828281,R3,0.3333333333333333,137.81721120676588
S200,bal,0.3366676943812705,0.5045137203717629,0.1588185852469664,0.5997680304430948,102.47373033889748,R2,0.3333333327002051,105.35265124935133
S201,bal,0.4680895252506531,0.4282079672107298,0.103702507538617,0.4777520530987976,98.63488021837706,R4,0.2627761464576923,95.97422810954674
S202,bal,0.6100602404102057,0.272907229682871,0.1170325299069232,0.3090795968441543,103.72222049959042,R4,0.3333333317129034,112.55639250271074
S203,bal,0.999999903541572,4.0525960602840446e-13,9.645802256396715e-08,4.052596451189484e-13,97.8946109592934,R4,0.3333333303975365,131.2561996041848
S204,bal,0.3295040863658563,0.3939570923908242,0.2765388212433194,0.5445448960618281,114.0805459809384,R1,0.3333333314842098,121.83032758760892
S205,bal,0.0502369724604267,0.6164296941411476,0.3333333333333333,0.9246445413020024,115.37135082176133,R1,0.333333330871032,116.11699364252704
S206,bal,0.6029077217833517,0.0848475357473469,0.3122447424693013,0.1233687926312358,122.9583930347981,R3,0.3333333299461507,130.40744617615113
S207,bal,0.5434762245592523,0.1231904421019876,0.3333333333333333,0.1847856631544856,129.2582242630155,R3,0.3333333333333333,138.98540805196552
S208,bal,0.4120651509408723,0.471549767087117,0.1163850819720107,0.5336598075318826,99.3378466450322,R2,0.3333333315808814,104.960253451975
S209,bal,0.6823694020463597,0.3176305555586965,4.2394943834822585e-08,0.3176305690246266,80.74115382506695,R4,0.1863911698236336,80.3455148585898
S210,bal,0.6666666665370033,1.0126396119536966e-10,0.3333333333333333,1.5189594179952509e-10,126.22568447723602,R3,0.3333333322339547,127.57665856468547
S211,bal,0.013698087521675,0.652968578706257,0.3333333333333333,0.9794528687039654,116.42959146260226,R2,0.3333333325266548,114.08314143684392
S212,bal,0.4227659456962758,0.5772340486368708,5.6668533731312124e-09,0.5772340519079715,82.65121747880546,R2,0.2645685912619707,94.54371919666684
S213,bal,0.6730003614987133,0.326999415590335,2.229109515898497e-07,0.3269994884821022,89.66327550116095,R2,0.3333333318915317,108.52972298731876
S214,bal,0.2263367204588344,0.6626247808618818,0.1110384986792837,0.745391988154077,92.53519583674246,R1,0.2363536296175835,88.40058078202105
S215,bal,0.1075730502019087,0.5590936164278609,0.3333333333333333,0.8386404246882063,112.85537644101584,R2,0.3333333329482635,115.03522456667892
S216,bal,0.8879637315432407,0.1120361822799298,8.617682949233964e-08,0.1120361919348536,102.87653553011552,R3,0.283145577822719,125.21919331195512
S217,bal,0.2450179770995112,0.6191617458233987,0.13582027707709,0.7164733554835233,92.80261987423876,R2,0.2714204246565627,94.37487159015946
S218,bal,0.3375195876891748,0.4255415496005609,0.2369388627102642,0.5576768738505181,109.22084963069214,R2,0.3333333311709686,113.76835743810888
S219,bal,0.0116483494115445,0.6550183172279487,0.3333333333333333,0.982527475881971,105.37320136448356,R1,0.2611053024331329,91.64395785302224
S220,bal,0.4424178141677352,0.224248852451925,0.3333333333333333,0.3363732787016051,130.21457851608926,R2,0.3333333333333333,146.7821977865586
S221,bal,0.6432210542521138,0.2361864994114155,0.1205924463364707,0.2685745629855972,106.81403610672166,R4,0.3333333302615425,110.75663711748868
S222,bal,0.8939375168576232,1.8264543236569066e-07,0.1060623004969444,2.0431561670038547e-07,111.90462533718178,R3,0.3333333316514983,147.10176563964694
S223,bal,0.7534209661856894,1.6495233627142967e-08,0.2465790173190768,2.1893780510926872e-08,120.75708135414956,R3,0.2645426196272676,125.47935172518002
S224,bal,0.8961818729796196,4.7746221764648244e-08,0.1038180792741587,5.3277376680370124e-08,103.69837906827496,R4,0.3333333317632848,117.90346484687832
S225,bal,0.9734845630690154,0.0265154060705213,3.0860463194794845e-08,0.0265154068887991,86.14779249155825,R4,0.3333333305211445,106.06606160701728
S226,bal,0.4250746447566295,0.5749253519738471,3.2695234836614326e-09,0.5749253538535789,92.39756925186816,R4,0.1954328290550106,86.17822124839617
