WID,TrialName,TrialBase,Response,NormResp,TrialType,Materials,Centering,StrutSize,ShapeType,TrialNumber,RevType,CorrectResp,TrialOrd,Time
S048,D_mixed_uncentered_1.0_0_mixed_R,D_mixed_uncentered_1.0_0,R,L,D,mixed,uncentered,1.0,mixed,1.0,R,L,54,10007
S048,B_pure_uncentered_0.25_0_mixed_R,B_pure_uncentered_0.25_0,B,B,B,pure,uncentered,0.25,mixed,0.25,R,B,55,14652
S048,B_mixed_centered_1.0_0_mixed_R,B_mixed_centered_1.0_0,B,B,B,mixed,centered,1.0,mixed,1.0,R,B,56,6225
S048,D_mixed_centered_1.0_0_blocks_N,D_mixed_centered_1.0_0,L,L,D,mixed,centered,1.0,blocks,1.0,N,L,57,2447
S048,CW_mixed_uncentered_0.25_0_blocks_N,CW_mixed_uncentered_0.25_0,L,L,CW,mixed,uncentered,0.25,blocks,0.25,N,L,58,11360
S048,CB_pure_uncentered_0.25_1_blocks_R,CB_pure_uncentered_0.25_1,R,L,CB,pure,uncentered,0.25,blocks,0.25,R,B,59,5895
S048,CD_pure_uncentered_0.25_1_mixed_N,CD_pure_uncentered_0.25_1,R,R,CD,pure,uncentered,0.25,mixed,0.25,N,L,60,5065
S048,CW_pure_uncentered_1.0_1_mixed_N,CW_pure_uncentered_1.0_1,B,B,CW,pure,uncentered,1.0,mixed,1.0,N,L,61,5514
S048,CD_mixed_centered_1.0_1_blocks_R,CD_mixed_centered_1.0_1,R,L,CD,mixed,centered,1.0,blocks,1.0,R,L,62,8503
S048,W_mixed_uncentered_1.0_0_blocks_N,W_mixed_uncentered_1.0_0,B,B,W,mixed,uncentered,1.0,blocks,1.0,N,L,63,7243
S048,B_pure_centered_0.25_0_mixed_R,B_pure_centered_0.25_0,B,B,B,pure,centered,0.25,mixed,0.25,R,B,64,3647
S048,D_mixed_centered_0.25_1_mixed_N,D_mixed_centered_0.25_1,L,L,D,mixed,centered,0.25,mixed,0.25,N,L,65,2465
S048,W_mixed_centered_1.0_1_blocks_R,W_mixed_centered_1.0_1,R,L,W,mixed,centered,1.0,blocks,1.0,R,L,66,3878
S048,D_pure_uncentered_1.0_1_mixed_N,D_pure_uncentered_1.0_1,B,B,D,pure,uncentered,1.0,mixed,1.0,N,L,67,7067
S048,W_pure_centered_1.0_0_blocks_N,W_pure_centered_1.0_0,L,L,W,pure,centered,1.0,blocks,1.0,N,L,68,2996
S048,B_pure_uncentered_0.25_1_mixed_N,B_pure_uncentered_0.25_1,B,B,B,pure,uncentered,0.25,mixed,0.25,N,B,69,9548
S048,D_mixed_centered_0.25_0_mixed_R,D_mixed_centered_0.25_0,R,L,D,mixed,centered,0.25,mixed,0.25,R,L,70,3891
S048,CW_pure_centered_1.0_0_blocks_N,CW_pure_centered_1.0_0,L,L,CW,pure,centered,1.0,blocks,1.0,N,L,71,2932
S048,CD_pure_uncentered_1.0_0_blocks_N,CD_pure_uncentered_1.0_0,L,L,CD,pure,uncentered,1.0,blocks,1.0,N,L,72,6087
S048,CW_pure_uncentered_1.0_0_mixed_R,CW_pure_uncentered_1.0_0,R,L,CW,pure,uncentered,1.0,mixed,1.0,R,L,73,5488
S048,CD_mixed_centered_0.25_0_mixed_R,CD_mixed_centered_0.25_0,L,R,CD,mixed,centered,0.25,mixed,0.25,R,L,74,4354
S048,D_pure_centered_1.0_0_blocks_N,D_pure_centered_1.0_0,R,R,D,pure,centered,1.0,blocks,1.0,N,L,75,4548
S048,CD_pure_uncentered_0.25_0_mixed_R,CD_pure_uncentered_0.25_0,B,B,CD,pure,uncentered,0.25,mixed,0.25,R,L,76,6677
S048,D_pure_uncentered_0.25_0_blocks_N,D_pure_uncentered_0.25_0,B,B,D,pure,uncentered,0.25,blocks,0.25,N,L,77,6123
S048,D_pure_centered_0.25_1_mixed_N,D_pure_centered_0.25_1,L,L,D,pure,centered,0.25,mixed,0.25,N,L,78,6743
S048,CB_pure_centered_0.25_1_blocks_R,CB_pure_centered_0.25_1,R,L,CB,pure,centered,0.25,blocks,0.25,R,B,79,4003
S048,W_mixed_uncentered_0.25_0_blocks_N,W_mixed_uncentered_0.25_0,B,B,W,mixed,uncentered,0.25,blocks,0.25,N,L,80,9257
S048,CB_pure_uncentered_1.0_1_mixed_N,CB_pure_uncentered_1.0_1,R,R,CB,pure,uncentered,1.0,mixed,1.0,N,B,81,2876
S048,CD_mixed_centered_1.0_1_mixed_N,CD_mixed_centered_1.0_1,B,B,CD,mixed,centered,1.0,mixed,1.0,N,L,82,5986
S048,W_mixed_uncentered_0.25_1_blocks_R,W_mixed_uncentered_0.25_1,R,L,W,mixed,uncentered,0.25,blocks,0.25,R,L,83,3558
S048,CW_mixed_uncentered_0.25_1_blocks_R,CW_mixed_uncentered_0.25_1,B,B,CW,mixed,uncentered,0.25,blocks,0.25,R,L,84,12222
S048,D_pure_centered_0.25_0_blocks_N,D_pure_centered_0.25_0,L,L,D,pure,centered,0.25,blocks,0.25,N,L,85,4984
S048,D_pure_uncentered_1.0_0_mixed_R,D_pure_uncentered_1.0_0,R,L,D,pure,uncentered,1.0,mixed,1.0,R,L,86,3662
S048,B_mixed_centered_1.0_1_mixed_N,B_mixed_centered_1.0_1,B,B,B,mixed,centered,1.0,mixed,1.0,N,B,87,7597
S048,B_pure_uncentered_0.25_0_blocks_N,B_pure_uncentered_0.25_0,B,B,B,pure,uncentered,0.25,blocks,0.25,N,B,88,7431
S048,W_mixed_centered_1.0_1_mixed_N,W_mixed_centered_1.0_1,B,B,W,mixed,centered,1.0,mixed,1.0,N,L,89,5045
S048,CB_pure_centered_0.25_0_blocks_N,CB_pure_centered_0.25_0,L,L,CB,pure,centered,0.25,blocks,0.25,N,B,90,3637
S048,D_pure_uncentered_1.0_1_blocks_R,D_pure_uncentered_1.0_1,R,L,D,pure,uncentered,1.0,blocks,1.0,R,L,91,3008
S048,CD_pure_uncentered_1.0_0_mixed_R,CD_pure_uncentered_1.0_0,R,L,CD,pure,uncentered,1.0,mixed,1.0,R,L,92,5300
S048,CW_pure_uncentered_0.25_0_mixed_R,CW_pure_uncentered_0.25_0,R,L,CW,pure,uncentered,0.25,mixed,0.25,R,L,93,6968
S048,CD_mixed_uncentered_1.0_1_mixed_N,CD_mixed_uncentered_1.0_1,L,L,CD,mixed,uncentered,1.0,mixed,1.0,N,L,94,4422
S048,CW_mixed_centered_1.0_1_blocks_R,CW_mixed_centered_1.0_1,R,L,CW,mixed,centered,1.0,blocks,1.0,R,L,95,4812
S048,W_pure_uncentered_1.0_1_blocks_R,W_pure_uncentered_1.0_1,R,L,W,pure,uncentered,1.0,blocks,1.0,R,L,96,3604
S048,CW_pure_centered_0.25_1_mixed_N,CW_pure_centered_0.25_1,L,L,CW,pure,centered,0.25,mixed,0.25,N,L,97,3646
S048,CD_mixed_uncentered_1.0_1_blocks_R,CD_mixed_uncentered_1.0_1,L,R,CD,mixed,uncentered,1.0,blocks,1.0,R,L,98,3828
S048,CW_mixed_uncentered_0.25_1_mixed_N,CW_mixed_uncentered_0.25_1,R,R,CW,mixed,uncentered,0.25,mixed,0.25,N,L,99,4053
S048,CW_pure_centered_0.25_1_blocks_R,CW_pure_centered_0.25_1,R,L,CW,pure,centered,0.25,blocks,0.25,R,L,100,4480
S048,D_mixed_uncentered_1.0_1_mixed_N,D_mixed_uncentered_1.0_1,R,R,D,mixed,uncentered,1.0,mixed,1.0,N,L,101,5135
S048,CD_pure_uncentered_0.25_0_blocks_N,CD_pure_uncentered_0.25_0,B,B,CD,pure,uncentered,0.25,blocks,0.25,N,L,102,6174
S048,CB_mixed_centered_0.25_1_mixed_N,CB_mixed_centered_0.25_1,B,B,CB,mixed,centered,0.25,mixed,0.25,N,B,103,11549
S048,B_pure_centered_0.25_0_blocks_N,B_pure_centered_0.25_0,B,B,B,pure,centered,0.25,blocks,0.25,N,B,104,3320
S048,CD_pure_uncentered_0.25_1_blocks_R,CD_pure_uncentered_0.25_1,R,L,CD,pure,uncentered,0.25,blocks,0.25,R,L,105,2678
S048,CB_mixed_centered_1.0_0_blocks_N,CB_mixed_centered_1.0_0,L,L,CB,mixed,centered,1.0,blocks,1.0,N,B,106,4502
S048,D_pure_uncentered_0.25_1_blocks_R,D_pure_uncentered_0.25_1,R,L,D,pure,uncentered,0.25,blocks,0.25,R,L,107,2717
S048,CW_pure_uncentered_0.25_1_mixed_N,CW_pure_uncentered_0.25_1,B,B,CW,pure,uncentered,0.25,mixed,0.25,N,L,108,6645
S048,W_pure_uncentered_0.25_0_blocks_N,W_pure_uncentered_0.25_0,B,B,W,pure,uncentered,0.25,blocks,0.25,N,L,109,2861
S048,W_pure_centered_0.25_0_blocks_N,W_pure_centered_0.25_0,L,L,W,pure,centered,0.25,blocks,0.25,N,L,110,2443
S048,B_mixed_centered_1.0_0_blocks_N,B_mixed_centered_1.0_0,B,B,B,mixed,centered,1.0,blocks,1.0,N,B,111,4375
S048,CD_pure_uncentered_1.0_1_mixed_N,CD_pure_uncentered_1.0_1,L,L,CD,pure,uncentered,1.0,mixed,1.0,N,L,112,4618
