Trial,NetTorque,NetWeight,CenterOfMass
CD_MixContra_0,-28.1603916092,-27.4,-0.59915726828
CD_MixContra_1,-18.0546347292,-10.4,-0.851633713643
CD_MixContra_6,-16.8551803266,-21.8,-0.338457436277
CD_MixContra_7,-6.78271095605,-15.2,-0.107321375887
CD_MixContra_4,-13.9992264203,-23.6,-0.357123122968
CD_MixContra_5,-45.7199739825,-18.4,-1.46538378149
Dist_MixBal_2,-0.155803048339,-6.6,-0.00303118771088
Bal_Symmetric_7,0.0,0.0,0.0
Bal_Symmetric_6,0.0,0.0,0.0
Bal_Symmetric_5,0.0,0.0,0.0
Bal_Symmetric_4,0.0,0.0,0.0
Bal_Symmetric_3,0.0,0.0,0.0
Bal_Same_4,0.0,0.0,0.0
Bal_Symmetric_1,0.0,0.0,0.0
Bal_Symmetric_0,0.0,0.0,0.0
Dist_MixContra_1,-17.4234641631,-1.4,-0.401462307906
CW_MixExtend_3,17.0595920454,6.0,0.947755113635
CW_MixContra_5,-6.81016050245,3.0,-0.228528875921
Dist_MixBal_3,-0.23283820718,-8.0,-0.0123850110202
CW_MixContra_4,-0.0991373296489,2.0,-0.0091793823749
CW_MixExtend_6,54.3377290523,19.2,1.33180708461
CW_MixExtend_7,3.87148773764,20.0,0.0921782794677
CW_MixExtend_4,37.6135862081,19.4,1.48084985071
CW_MixExtend_5,8.38849485261,13.8,0.221917853244
CW_MixExtend_2,31.2600810259,7.0,0.785429171506
CW_MixContra_7,-18.1739813204,14.8,-0.493858188053
CW_MixExtend_0,2.76111535898,16.6,0.0550022979876
CW_MixExtend_1,46.5963766113,28.0,0.820358743157
