WID,Strategy,CVOrder,CVLLH
S183,base_strats,11,-46.81457946834872
S183,base_strats,12,-54.42126852821649
S183,base_strats,13,-44.508611509264966
S183,base_strats,14,-52.219332921262406
S183,base_strats,15,-48.52314830389594
S183,base_strats,16,-49.48783826530816
S183,base_strats,17,-43.63803634345109
S183,base_strats,18,-46.00857645154191
S183,base_strats,19,-51.17710366273822
S183,base_strats,2,-52.44846691596241
S183,base_strats,20,-48.87608448846184
S183,base_strats,21,-48.29275863422893
S183,base_strats,22,-54.445583378720585
S183,base_strats,23,-40.088940598932936
S183,base_strats,24,-50.36143511105548
S183,base_strats,25,-39.50888756043744
S183,base_strats,26,-52.25505982953512
S183,base_strats,27,-48.2377494193975
S183,base_strats,28,-54.16613366332919
S183,base_strats,29,-42.06738552856246
S183,base_strats,3,-37.69603847286198
S183,base_strats,30,-53.55769253085453
S183,base_strats,31,-47.25394605142745
S183,base_strats,32,-46.1923809823864
S183,base_strats,33,-42.99104974829793
S183,base_strats,34,-51.1193308417548
S183,base_strats,35,-51.61163866949085
S183,base_strats,36,-53.038318564338745
S183,base_strats,37,-44.8982239798068
S183,base_strats,38,-46.265499403150336
S183,base_strats,39,-45.95852546308096
S183,base_strats,4,-46.64182287679575
S183,base_strats,40,-39.79516258935099
S183,base_strats,41,-50.63195476565854
S183,base_strats,42,-45.71486116695318
S183,base_strats,43,-48.375220362416265
S183,base_strats,44,-58.37249801057352
S183,base_strats,45,-42.98126532578823
S183,base_strats,46,-41.37637945774349
S183,base_strats,47,-51.24714539629675
S183,base_strats,48,-45.992023020455946
S183,base_strats,49,-51.58948286720737
S183,base_strats,5,-46.41835619397798
S183,base_strats,6,-53.38261200472534
S183,base_strats,7,-50.30155189613272
S183,base_strats,8,-44.8291083530751
S183,base_strats,9,-52.88940224022687
S184,base_strats,0,-58.49750723998624
S184,base_strats,1,-62.89988893910501
S184,base_strats,10,-45.733433789758905
S184,base_strats,11,-47.23671176354553
S184,base_strats,12,-55.10089192660155
S184,base_strats,13,-55.61760625042784
S184,base_strats,14,-64.6071982859716
S184,base_strats,15,-45.60028744488814
S184,base_strats,16,-48.60440763218395
S184,base_strats,17,-66.21169653466289
S184,base_strats,18,-53.947532977299744
S184,base_strats,19,-51.98113357281912
S184,base_strats,2,-54.57924332057872
S184,base_strats,20,-50.36855361890668
S184,base_strats,21,-69.02242971334205
S184,base_strats,22,-50.16654976359664
S184,base_strats,23,-51.31483481405811
S184,base_strats,24,-49.74417301562212
S184,base_strats,25,-51.62097503499043
S184,base_strats,26,-53.26668774210789
