"N","S1","S2","S3","P1","P2","P3"
27,13,14,0,0.425323813071283,0.574673310268623,2.87666010492499e-06
27,14,0,13,0.574482617794998,2.96256415493531e-06,0.425514419640857
27,14,1,12,0.648866129254703,4.54196019459428e-05,0.351088451143349
27,14,2,11,0.720483597350639,0.000341828516673774,0.279174574132684
27,14,3,10,0.786149468241866,0.00164119913438074,0.212209332623746
27,14,4,9,0.841834764805267,0.00568096149937019,0.15248427369536
27,14,5,8,0.882851201627802,0.0152371967538303,0.101911601618367
27,14,6,7,0.904748895106735,0.033344324889637,0.0619067800036263
27,14,7,6,0.904749221113131,0.0620856835098147,0.0331650953770516
27,14,8,5,0.882918109908605,0.101968222891726,0.0151136671996703
27,14,9,4,0.842114144448915,0.152268458820301,0.00561739673078232
27,14,10,3,0.786714351114195,0.211668496842946,0.00161715204285255
27,14,11,2,0.72118771337708,0.278476763692796,0.000335522930120395
27,14,12,1,0.649418620195278,0.350536981482184,4.43983225365368e-05
27,14,13,0,0.574837190447614,0.425159932899344,2.87665305121296e-06
27,15,0,12,0.713996124126188,2.67974015187541e-06,0.286001196133657
27,15,1,11,0.778496039647498,3.91157208615435e-05,0.221464844631642
27,15,2,10,0.835814075944039,0.000280874496351932,0.163905049559611
27,15,3,9,0.88388102719059,0.00129182607086626,0.114827146738542
27,15,4,8,0.920527013135238,0.0043116081637517,0.0751613787010101
27,15,5,7,0.943624209158805,0.0112566314541247,0.0451191593870695
27,15,6,6,0.951535632814919,0.0242725862895829,0.0241917808954933
27,15,7,5,0.943665702951382,0.0451470577634148,0.0111872392852033
27,15,8,4,0.920697678578327,0.0750304525034042,0.00427186891826907
27,15,9,3,0.884258534982532,0.114465950763541,0.00127551425392506
27,15,10,2,0.836330613018507,0.163393130267342,0.000276256714152691
27,15,11,1,0.778938056348862,0.221023634050306,3.83096008319189e-05
27,15,12,0,0.714373518226697,0.285623875832264,2.60594103581499e-06
27,16,0,11,0.827377265171985,2.19710105139291e-06,0.172620537726966
27,16,1,10,0.875777162983587,3.05964397375187e-05,0.124192240576679
