Strategy,FitType,CVOrder,FitLLH,CVLLH,AddStratParam
add1_smdp,all,36,-5737.325034556727,-5486.395366403351,0.2083983793501417
add1_smdp,all,37,-5576.160493646593,-5657.638737343949,0.1386937510040739
add1_smdp,all,38,-5621.214899716264,-5615.139477117147,0.1826256761944871
add1_smdp,all,39,-5622.760042008214,-5601.956255064397,0.0574178272744531
add1_smdp,all,40,-5724.138649338029,-5509.906757117848,0.2684857588643376
add1_smdp,all,41,-5553.210798520368,-5692.472302107752,0.0875277690382179
add1_smdp,all,42,-5550.724243342242,-5683.452521269271,0.069064510979244
add1_smdp,all,43,-5611.842937304071,-5620.44021594956,0.2073254990461776
add1_smdp,all,44,-5510.593334158612,-5722.682090507328,0.1072013333221435
add1_smdp,all,45,-5617.64495830462,-5613.890399424555,0.1589154152182696
add1_smdp,all,46,-5605.687355990664,-5642.358765580779,0.2954959760852847
add1_smdp,all,47,-5598.5108139587865,-5645.015769876675,0.1765689357144801
add1_smdp,all,48,-5704.147125503572,-5543.4881195406415,0.1591629135025658
add1_smdp,all,49,-5548.706904977538,-5691.354476909916,0.0798324903147436
add1_smd,all,0,-5670.941145930782,-5580.881645496039,0.3378909080172664
add1_smd,all,1,-5661.281784919045,-5574.978289724931,0.1492647189589188
add1_smd,all,2,-5871.132341486783,-5358.778971075519,0.1705602246220125
add1_smd,all,3,-5784.731093837926,-5448.198674364752,0.1397732638882278
add1_smd,all,4,-5353.571049592829,-5905.969380943112,0.0576048069999135
add1_smd,all,5,-5524.7503439401535,-5712.342554584708,0.2111113158147384
add1_smd,all,6,-5521.279675064487,-5710.233527885167,0.1737050140720191
add1_smd,all,7,-5627.716568376962,-5627.078172121184,0.0700260470177042
add1_smd,all,8,-5645.0193665054685,-5574.587213679762,0.1191717564440923
add1_smd,all,9,-5566.353253486634,-5665.554959389522,0.2547069543065836
add1_smd,all,10,-5559.308838700433,-5672.01222335854,0.1258522112428991
add1_smd,all,11,-5741.924342575328,-5502.814769880987,0.1159749986884828
add1_smd,all,12,-5480.434122189653,-5750.448009421876,0.2117277564842494
add1_smd,all,13,-5689.468947066062,-5537.063466842559,0.0710343856771844
add1_smd,all,14,-5586.89213009173,-5650.458036340194,0.1479680951035707
add1_smd,all,15,-5704.719224245919,-5533.721170789764,0.1028706948880758
add1_smd,all,16,-5637.865497763756,-5615.710630143128,0.1944084449494312
add1_smd,all,17,-5719.979525093661,-5515.819506504207,0.1128551426688244
add1_smd,all,18,-5808.49209531361,-5431.043710920458,0.1889656677010861
add1_smd,all,19,-5699.914114320618,-5547.737793344199,0.1258530054746517
add1_smd,all,20,-5602.869354580339,-5644.472832631632,0.1984835103045326
add1_smd,all,21,-5574.549638115964,-5662.856818849316,0.1383442987720095
add1_smd,all,22,-5714.406970267742,-5500.184968424289,0.2124581865597309
add1_smd,all,23,-5614.676642537733,-5620.030001631037,0.1227225372157342
add1_smd,all,24,-5440.665342716596,-5793.138728317256,0.2242644648651068
add1_smd,all,25,-5549.588137811165,-5678.7741522681545,0.147526384559566
add1_smd,all,26,-5717.423863330481,-5523.596734276395,0.2128944945983588
add1_smd,all,27,-5638.9652964188745,-5583.662767519602,0.1941871578660315
add1_smd,all,28,-5515.420070537637,-5700.194152434731,0.1798922702078674
add1_smd,all,29,-5631.662856169406,-5619.503588491118,0.0371498502139883
add1_smd,all,30,-5541.810108005887,-5675.406324363405,0.1754319049253919
add1_smd,all,31,-5795.132951082415,-5453.986759951295,0.1668874970144281
add1_smd,all,32,-5628.754354696502,-5594.906638540248,0.0756264016677522
add1_smd,all,33,-5492.906307949745,-5739.747554862868,0.1874073070095189
add1_smd,all,34,-5575.61030330829,-5652.134331847451,0.1377927179841645
add1_smd,all,35,-5720.400990297458,-5508.560165043711,0.1585330488317027
add1_smd,all,36,-5743.996497061562,-5481.256458121984,0.2066669384856048
add1_smd,all,37,-5579.968915847463,-5657.108955442327,0.0786850553636456
add1_smd,all,38,-5616.4034576520735,-5606.067026998728,0.1591443637343148
add1_smd,all,39,-5628.576920311616,-5621.244729645421,0.057823908867789
add1_smd,all,40,-5722.3435937731765,-5511.810757684574,0.224584327731925
add1_smd,all,41,-5560.319810133226,-5691.735778762046,0.0968778886772084
