Strategy,FitType,CVOrder,FitLLH,CVLLH
no_phys,all,21,-6184.148620246575,-6205.320949269276
no_phys,all,22,-6275.155261905123,-6082.828880233224
no_phys,all,23,-6180.456766506055,-6173.358250703939
no_phys,all,24,-6097.512560502603,-6261.861383889166
no_phys,all,25,-6115.540256182029,-6242.317476742682
no_phys,all,26,-6282.340884832335,-6051.865221803723
no_phys,all,27,-6207.8118725184,-6143.663232929018
no_phys,all,28,-6091.616521166512,-6260.398684249595
no_phys,all,29,-6081.152418144653,-6276.573195541262
no_phys,all,30,-6194.110956177235,-6203.44164288787
no_phys,all,31,-6438.63706567888,-5983.176423053853
no_phys,all,32,-6252.899997465435,-6109.520947721227
no_phys,all,33,-6086.846034950743,-6288.353067075896
no_phys,all,34,-6220.9174329765365,-6128.815045587016
no_phys,all,35,-6234.657587854574,-6188.232322709028
no_phys,all,36,-6299.423251343455,-6068.780124059329
no_phys,all,37,-6183.389128892893,-6187.211948912076
no_phys,all,38,-6198.837636055495,-6208.70734917568
no_phys,all,39,-6180.247868926865,-6184.386043389269
no_phys,all,40,-6330.8709038119,-5999.331586757943
no_phys,all,41,-6096.730579718442,-6268.722391747564
no_phys,all,42,-6067.972652960978,-6277.198155886166
no_phys,all,43,-6138.279874033242,-6232.486701043309
no_phys,all,44,-6127.483829561675,-6223.355779401864
no_phys,all,45,-6140.374093651132,-6215.00139843409
no_phys,all,46,-6122.292927832804,-6219.474792853405
no_phys,all,47,-6098.449086992888,-6269.872107756013
no_phys,all,48,-6248.751943816627,-6086.955470935393
no_phys,all,49,-6140.52457635358,-6296.819539010765
no_sym,all,0,-5814.453753239225,-5679.640258002566
no_sym,all,1,-5817.094837889727,-5682.808694523922
no_sym,all,2,-6020.096565921741,-5490.730671244266
no_sym,all,3,-5864.168383248551,-5650.938522786991
no_sym,all,4,-5480.607809910017,-6058.481182760379
no_sym,all,5,-5641.580450096851,-5863.788332656743
no_sym,all,6,-5664.147602473224,-5852.135836784896
no_sym,all,7,-5767.126058975936,-5758.072906938108
no_sym,all,8,-5832.155535262268,-5671.270330608309
no_sym,all,9,-5660.391542827839,-5847.085142101001
no_sym,all,10,-5710.981726761648,-5786.8468466511495
no_sym,all,11,-5892.18843918946,-5641.920948013776
no_sym,all,12,-5654.74437292672,-5856.698180088957
no_sym,all,13,-5814.523646978989,-5716.258480270005
no_sym,all,14,-5666.974417729237,-5830.579013287639
no_sym,all,15,-5839.107651085084,-5669.707263262949
no_sym,all,16,-5762.201864988817,-5763.553136748077
no_sym,all,17,-5853.496615387074,-5658.388157916532
no_sym,all,18,-5944.72424824321,-5562.841395159971
no_sym,all,19,-5831.486555024571,-5685.791115425818
no_sym,all,20,-5737.736366921124,-5759.750171315806
no_sym,all,21,-5734.267600098001,-5764.665127839463
no_sym,all,22,-5834.23656449946,-5675.220807746667
no_sym,all,23,-5746.491112347285,-5766.302420302417
no_sym,all,24,-5526.365140669432,-5970.848181915522
no_sym,all,25,-5721.815595003701,-5789.742761196398
no_sym,all,26,-5851.665402475681,-5659.221485111374
no_sym,all,27,-5800.342051823792,-5712.4082783548165
no_sym,all,28,-5662.607521834306,-5851.600161061897
no_sym,all,29,-5763.02267591743,-5749.412177509655
no_sym,all,30,-5619.346775803386,-5881.388691829939
no_sym,all,31,-5881.009514265817,-5627.679966830827
no_sym,all,32,-5754.456258407615,-5761.897502557543
no_sym,all,33,-5640.691903010997,-5870.56885150158
no_sym,all,34,-5705.450910687626,-5790.386065357473
no_sym,all,35,-5864.757012755986,-5645.151622358098
no_sym,all,36,-5925.569909503064,-5589.451354129514
no_sym,all,37,-5736.355543826029,-5768.306293214891
no_sym,all,38,-5802.166790960962,-5709.675014369028
no_sym,all,39,-5800.447954293792,-5729.275337379484
no_sym,all,40,-5895.21336602294,-5609.184656278064
no_sym,all,41,-5691.404280868483,-5812.025063905602
no_sym,all,42,-5692.552525984577,-5837.0697424889095
no_sym,all,43,-5766.099276000324,-5752.886294292196
no_sym,all,44,-5681.68339857702,-5818.564575840133
no_sym,all,45,-5731.399708546715,-5770.951309941008
no_sym,all,46,-5772.537822268079,-5777.6640898521455
no_sym,all,47,-5744.495390311227,-5773.552864655647
no_sym,all,48,-5824.923831426689,-5690.584977919912
no_sym,all,49,-5686.055341899284,-5817.656540214419
no_weight,all,0,-5982.786517773201,-5923.984217732008
no_weight,all,1,-5967.470180093732,-5959.6241276217015
no_weight,all,2,-6249.607934907525,-5689.167845769677
no_weight,all,3,-6170.129146965463,-5771.08410547798
no_weight,all,4,-5694.367017466088,-6254.219507959478
no_weight,all,5,-5866.406771741328,-6051.815498169796
no_weight,all,6,-5906.719886398886,-6028.899980964336
no_weight,all,7,-5993.467207802281,-5935.868810317734
no_weight,all,8,-5991.101876806704,-5945.699617601377
no_weight,all,9,-5994.705658209269,-5946.083787669941
no_weight,all,10,-5855.925309455114,-6081.576990940176
no_weight,all,11,-6057.152096547004,-5879.8856749420365
no_weight,all,12,-5814.17134832214,-6100.26320705421
no_weight,all,13,-6089.239088836356,-5825.326473776949
no_weight,all,14,-5930.360994943469,-5964.912970339767
no_weight,all,15,-6045.674348685238,-5919.021490666558
no_weight,all,16,-5969.232511946193,-5963.021665549533
no_weight,all,17,-6031.2716299461845,-5885.139314967841
no_weight,all,18,-6126.3964233247525,-5782.527125732246
no_weight,all,19,-5995.37661048005,-5917.253978379211
no_weight,all,20,-5915.327375550707,-6019.49773513836
no_weight,all,21,-5902.547842549004,-6003.800067296292
no_weight,all,22,-6050.115041226822,-5857.584537390192
no_weight,all,23,-5930.112709774207,-6002.747767697571
no_weight,all,24,-5752.251539456329,-6147.248380444801
no_weight,all,25,-5860.310233108407,-6067.575973863517
no_weight,all,26,-6001.147126767109,-5912.921865250904
no_weight,all,27,-6023.397397298375,-5893.708526609127
no_weight,all,28,-5855.502513690093,-6039.980943556464
